"Method","Plain-language role","Input / setting","Main result","Latency","LLM calls","Token usage","Main limitation","Source"
"Contract Gate","先檢查文件像不像完整包裹","129 TFDA Documents","129 passed, 0 rejected","Structural check only","0","0","不懂語意、不知道最新狀態","05_hybrid.py"
"Similarity","判斷 Query 和文件像不像","129 documents, Top-10; intfloat/multilingual-e5-small","Narrow: 1 Direct, 3 Partial, 6 Irrelevant","Local retrieval latency recorded in trace","0","0","同藥不同風險容易混在一起","02_similarity_retrieval.py"
"Reranker","把候選文件重新排順序","Similarity Top-20; BAAI/bge-reranker-v2-m3","Narrow: ketoacidosis 1→1, Fournier 3→2, amputation 2→3, AKI 6→4","Narrow reranked pipeline about 30–34 seconds before Judge","0","0","排序變好不等於文件可以直接回答","03_reranker.py"
"LLM Judge","判斷文件能不能支援目前 Query","Phase 3 Narrow Reranked Top-10; deepseek-v4-flash","Human vs Judge 10/10; wrong-topic-only Set FALLBACK","93.11 seconds per Phase 4 round","13","41,081 per round","樣本小、逐篇判斷成本高","04_llm_judge.py"
"Hybrid Narrow Top-3","先縮小，再一次 Set-level Judge","Top-20→Top-3→1 Judge","PASS; usable ketoacidosis; Precision 1.00; Recall 1.00","40.80 seconds mean end-to-end","1","4,867 mean","仍約數十秒，僅測小型 Query","05_hybrid.py"
"Hybrid Narrow Top-4","先縮小，再一次 Set-level Judge","Top-20→Top-4→1 Judge","PASS; usable ketoacidosis; Precision 1.00; Recall 1.00","52.57 seconds mean end-to-end","1","6,404 mean","比 Top-3 多 Context 和 tokens","05_hybrid.py"
"Hybrid Narrow Top-5","先縮小，再一次 Set-level Judge","Top-20→Top-5→1 Judge","PASS; usable ketoacidosis; Precision 1.00; Recall 1.00","45.63 seconds mean end-to-end","1","7,556 mean","沒有增加 Recall","05_hybrid.py"
"Hybrid Broad Top-3","保留廣 Query 的多個安全主題","Top-20→Top-3→1 Judge","PASS; Precision 1.00; Recall 0.75","43.71 seconds mean end-to-end","1","4,940 mean","漏掉急性腎損傷","05_hybrid.py"
"Hybrid Broad Top-4","保留廣 Query 的多個安全主題","Top-20→Top-4→1 Judge","PASS; Precision 1.00; Recall 1.00","46.59 seconds mean end-to-end","1","6,399 mean","仍需更多 Query 驗證","05_hybrid.py"
"Hybrid Broad Top-5","保留廣 Query 的多個安全主題","Top-20→Top-5→1 Judge","PASS; Precision 1.00; Recall 1.00","48.16 seconds mean end-to-end","1","7,327 mean","多一篇候選但沒有增加 Recall","05_hybrid.py"
